"Source","Target","Category","Notes"
"月频模型数据&成果\新综合指数变化率_自然月版.csv","data\processed\新综合指数变化率_自然月版.csv","processed_data","自然月版指数变化率"
"月频模型数据&成果\模型流程中产物","outputs\pipeline_artifacts\模型流程中产物","pipeline_artifacts","模型流程中产物总目录"
"2 分窗口回测_处理疫情\汇总结果","outputs\final_results\bridge_summary_results","final_results","bridge汇总结果"
"2 分窗口回测_处理疫情_删除桥方程\汇总结果","outputs\final_results\no_bridge_summary_results","final_results","no_bridge汇总结果"
"2 分窗口回测_处理疫情_删除桥方程_扩展利率\汇总结果","outputs\final_results\interest19_summary_results","final_results","interest19汇总结果"
"Nowcasting GDP result.csv","outputs\final_results\Nowcasting GDP result.csv","final_results","bridge最终结果"
"Nowcasting GDP result_no_bridge.csv","outputs\final_results\Nowcasting GDP result_no_bridge.csv","final_results","no_bridge最终结果"
"Nowcasting GDP result_no_bridge_interest19.csv","outputs\final_results\Nowcasting GDP result_no_bridge_interest19.csv","final_results","interest19最终结果"
"2 model_operation_flow 三因子拟牛顿法 1995版.ipynb","archive\2 model_operation_flow 三因子拟牛顿法 1995版.ipynb","archive","历史尝试备份"
"2 model_operation_flow 三因子拟牛顿法 QN只更新AR.ipynb","archive\2 model_operation_flow 三因子拟牛顿法 QN只更新AR.ipynb","archive","历史尝试备份"
"2 model_operation_flow 单因子.ipynb","archive\2 model_operation_flow 单因子.ipynb","archive","历史尝试备份"
"2 model_operation_flow 单因子拟牛顿法.ipynb","archive\2 model_operation_flow 单因子拟牛顿法.ipynb","archive","历史尝试备份"
